CID,SMILES
CID109095,CCCCCCCCC(=O)OCCCCC
CID10909860,CCOC(=O)[C@@H](CC(C)C)O
CID10911,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C
CID109116,COC(=O)OC1CCCCCCC1
CID109127,CC(C)(C)C1=C2C=CC=NC2=CC=C1
CID109183,CCCCCCCCCC(C)C(OC)OC
CID109187,CC(C)CCCC(C)CC(OC)OC
CID109193,CC1C=C2CCCC(C2CC1(C)C(=O)C)(C)C
CID10920542,CC(C)CC(=O)C(C)O
CID109209,CCCCC1(CCC(=O)O1)CC
CID109223,CC1CC(CC(C1)COC(=O)C)C
CID109224,CC(C)CCCC(C)CCOC=O
CID109244,CC1CC2(CCCCC2)OC=C1
CID109245,CCOC(=O)C1=CC=CC=C1NCC2CCC(=CC2C)C
CID10925,CC(C)CCS
CID109257,CC1COC(O1)(C)CCC=C(C)C
CID109261,CC1=C2CC(C(C1)C(C2)C(C)C)C=O
CID109263,CC1=C2CC(C(C1)C(C2)C(=O)C)C(C)C
CID109264,CCC(C=CC1=C(CCCC1(C)C)C)O
CID10927,CCCC(=O)N
CID109275,CC1CC(=O)C2=C1C3=C(C=C2C)C(CC3(C)C)(C)C
CID109301,CC1=CC2C(CC1CC2C(C)C)C#N
CID10931,CC(=CC(=O)O)C
CID10931630,CC1([C@@H]2C[C@H]1C(=C)[C@@H](C2)O)C
CID109319,CC1CCC(C(C1)OC(=O)C(C)C)C(C)C
CID109323,CC(CC(C)(C)C)C(C)C=O
CID109332,CC1CCC2CC1SC2(C)C
CID10934,CC1=CSC(=N1)C
CID109395,CCCC(CCOC(=O)C)C(C)CC
CID109413,CCC(C)CCCC(C)(C)OC(=O)C
CID109415,C1CC2C(C1)C3CC2CC34CCCO4
CID109417,CC1C=C(CC(C1C)C(=O)C)C
CID109418,CC1CCC(C(C1)C)CO
CID109455,CC1COC(O1)C2=CC(=C(C=C2)O)OC
CID109457,CCOC1=C(C=CC(=C1)C2OCC(O2)C)O
CID109458,CC1CC(=CC(C1CO)C)C
CID109464,CC(C)CCOC(CC1=CC=CC=C1)OCCC(C)C
CID109467,CC(CCC=C(C)C)CCOC(=O)C1=CC=CC=C1N
CID109468,CC1CCCC(C1CCC(C)OC(=O)C)(C)C
CID109469,CC1=CCCC(C1C=C(C)C(C)OC(=O)C)(C)C
CID10947,CC1CCCCCCCCCCCCC(=O)C1
CID109479,CCCCCCCCCC(=O)O.CCCCCCCC(=O)O.CC(CO)O
CID109507,CCC(C)(C)CCCC(=O)OCC=C
CID10953,C1CCOC(=O)C1
CID10953718,CC(=C)[C@H]1CCC2(C(C1)O2)C
CID10955174,C[C@H]1CC[C@@]2([C@@]3([C@H]1C[C@H](C2(C)C)CC3)C)O
CID10957,CC(C)COC=O
CID109637,CCCCCC(=O)OC1=CC=C(C=C1)C
CID109641,CCCCCCCOC(=O)CCCCCCCCC=C
CID10966,CCN=C=S
CID109682,CC(C)CCCCCCCCCCCCCCC(=O)OCC(C)O
CID10975,CC(C)(CCCC(=C)C=C)O
CID10976,CCCCCC(C)O
CID109828,CCCC(=O)OC1=C(CCC1=O)C
CID10986465,COC(=O)CC/C=C/CC=C
CID10989,CC(C)CCOCCC(C)C
CID10990876,C([C@@H]([C@@H]1C(=C(C(=O)O1)OP(=O)([O-])[O-])[O-])O)O.[Na+].[Na+].[Na+]
CID10998493,CC1=C2CC[C@H](CC2=C(C=C1)C)C(C)(C)O
CID11002,CCCCSCCCC
CID11005,CCCCCCCCCCCCCC(=O)O
CID11006,CCCCCCCCCCCCCCCC
CID11007913,C[C@H]1C(=O)C(=C(O1)C)O
CID11008317,CCCCCCC1=CCC(=O)O1
CID11019061,CC1=CC[C@@H](CC1)C(=C)CO
CID110260,CCCCCCCCCC(=O)O.CCCCCCCC(=O)O.C(C(CO)(CO)CO)O
CID11027,CC1C2CC2(CC1=O)C(C)C
CID11029,C(=O)([O-])[O-].[Mg+2]
CID1103,C(CCNCCCN)CNCCCN
CID11030188,CC(=C)[C@@H]1C[C@H]2[C@](O2)(C(=O)C1)C
CID11030204,C/C=C/C(=O)/C(=C(/C)\C(C)C)/C
CID110365,CCC(=O)OCCCCCCCCC=C
CID110371,CCCCCCCCCCC=CCOC(=O)C
CID110372,CCCCCCCCC=CCOC(=O)C
CID110373,CC(=CCOC=O)C
CID11038,CC1C2CC(C2(C)C)CC1=O
CID11039,CC(C)C(=O)OC
CID11041412,CC/C=C\CCCCOC(=O)CC
CID110529,CCC(COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCC(C)C
CID110542,CCCCCC#CC(=O)OCCC(C)C
CID110543,CCC(=O)OC1=C(OC=CC1=O)C
CID11062802,C[C@@]12CC[C@@H](C1(C)C)C[C@@]2(C)O
CID11064349,CC(C)CCC1=CC2=C(C=C1)OCC(=O)CO2
CID110655,CC(=O)OC1CC2CC1C3C2C=CC3
CID110661,CC1(C2CCC(C2)(C1OC=O)C)C
CID110664,CC1=CC=C2C(CCCC2(O1)C)(C)C
